ligne;lettre_station;station;facilite_acces_code;facilite_acces;nombre_facilite_acces_station
;C;Colonel Fabien;grey;comportant uniquement des escaliers et profonde;1
;C;Commerce;yellow;équipée d'au moins un escalator ou ascenseur sur le parcours entre la rue et le quai;1
METRO 1;C;Concorde;grey;comportant uniquement des escaliers et profonde;3
METRO 12;C;Concorde;yellow;équipée d'au moins un escalator ou ascenseur sur le parcours entre la rue et le quai;3
METRO 8;C;Concorde;yellow;équipée d'au moins un escalator ou ascenseur sur le parcours entre la rue et le quai;3
;C;Convention;yellow;équipée d'au moins un escalator ou ascenseur sur le parcours entre la rue et le quai;1
;C;Corentin Cariou;white;comportant uniquement des escaliers et peu profonde;1
;C;Corentin Celton;yellow;équipée d'au moins un escalator ou ascenseur sur le parcours entre la rue et le quai;1
;C;Cosmonautes;green;très facile d'accès (ascenseur ou plain-pied);1
;C;Corvisart;white;comportant uniquement des escaliers et peu profonde;1
;C;Cour Saint-Emilion;green;très facile d'accès (ascenseur ou plain-pied);1
;C;Courbevoie;green;très facile d'accès (ascenseur ou plain-pied);1
;C;Courcelles;white;comportant uniquement des escaliers et peu profonde;1
;C;Couronnes;grey;comportant uniquement des escaliers et profonde;1
METRO 8;C;Créteil - L'Échat;yellow;équipée d'au moins un escalator ou ascenseur sur le parcours entre la rue et le quai;2
METRO 15;C;Créteil - L'Échat;green;très facile d'accès (ascenseur ou plain-pied);2
METRO 8;C;Créteil - Pointe du Lac;black;facile d'accès, équipée d'escalator ou ascenseur sur tout le parcours entre la rue et le quai;2
CABLE C1;C;Créteil - Pointe du Lac;green;très facile d'accès (ascenseur ou plain-pied);2
;C;Créteil - Préfecture;grey;comportant uniquement des escaliers et profonde;1
;C;Créteil - Université;yellow;équipée d'au moins un escalator ou ascenseur sur le parcours entre la rue et le quai;1
;C;Crimée;yellow;équipée d'au moins un escalator ou ascenseur sur le parcours entre la rue et le quai;1
;C;Croix de Chavaux;yellow;équipée d'au moins un escalator ou ascenseur sur le parcours entre la rue et le quai;1
;D;Danton;green;très facile d'accès (ascenseur ou plain-pied);1
;D;Danube;white;comportant uniquement des escaliers et peu profonde;1
;D;Daumesnil;yellow;équipée d'au moins un escalator ou ascenseur sur le parcours entre la rue et le quai;1
;D;Delphine Seyrig;green;très facile d'accès (ascenseur ou plain-pied);1
METRO 6;D;Denfert-Rochereau;yellow;équipée d'au moins un escalator ou ascenseur sur le parcours entre la rue et le quai;2
RER B;D;Denfert-Rochereau;green;très facile d'accès (ascenseur ou plain-pied);2
;D;Desnouettes;green;très facile d'accès (ascenseur ou plain-pied);1
;D;Diane Arbus (Porte des Poissonniers);green;très facile d'accès (ascenseur ou plain-pied);1
;D;Didot;green;très facile d'accès (ascenseur ou plain-pied);1
;D;Drancy - Avenir;green;très facile d'accès (ascenseur ou plain-pied);1
;D;Dugommier;white;comportant uniquement des escaliers et peu profonde;1
;D;Dupleix;yellow;équipée d'au moins un escalator ou ascenseur sur le parcours entre la rue et le quai;1
;D;Duroc;yellow;équipée d'au moins un escalator ou ascenseur sur le parcours entre la rue et le quai;1
;É;École Militaire;yellow;équipée d'au moins un escalator ou ascenseur sur le parcours entre la rue et le quai;1
;É;École Vétérinaire de Maisons-Alfort;yellow;équipée d'au moins un escalator ou ascenseur sur le parcours entre la rue et le quai;1
;E;Edgar Quinet;white;comportant uniquement des escaliers et peu profonde;1
;É;Église d'Auteuil;white;comportant uniquement des escaliers et peu profonde;1
;É;Église de Pantin;yellow;équipée d'au moins un escalator ou ascenseur sur le parcours entre la rue et le quai;1
;E;Ella Fitzgerald;green;très facile d'accès (ascenseur ou plain-pied);1
;É;Epinettes - Pouchet;green;très facile d'accès (ascenseur ou plain-pied);1
;E;Escadrille Normandie Niémen;green;très facile d'accès (ascenseur ou plain-pied);1
;E;Esplanade de La Défense;green;très facile d'accès (ascenseur ou plain-pied);1
;É;Étienne Marcel;white;comportant uniquement des escaliers et peu profonde;1
;E;Europe;grey;comportant uniquement des escaliers et profonde;1
;E;Exelmans;white;comportant uniquement des escaliers et peu profonde;1
;F;Faidherbe - Chaligny;yellow;équipée d'au moins un escalator ou ascenseur sur le parcours entre la rue et le quai;1
;F;Falguière;white;comportant uniquement des escaliers et peu profonde;1
;F;Faubourg de l'Arche;green;très facile d'accès (ascenseur ou plain-pied);1
